iter	RMSE
0	3477.270715
1	3172.098087
2	2895.409571
3	2644.583312
4	2421.783513
5	2225.164819
6	2051.10236
7	1893.574278
8	1751.965221
9	1630.63186
10	1524.580705
11	1432.554868
12	1353.036984
13	1280.557834
14	1219.89108
15	1163.737065
16	1119.57095
17	1080.774321
18	1046.764624
19	1017.839465
20	993.9934743
21	973.5428556
22	953.85615
23	937.6350317
24	924.1929348
25	913.4322405
26	903.924542
27	893.5694522
28	885.7215392
29	878.7802478
30	872.5243864
31	866.1308576
32	861.2713168
33	855.9240907
34	851.399723
35	847.0851002
36	842.4122686
37	838.9275069
38	836.920445
39	833.9615165
40	831.4335317
41	828.2584989
42	825.6340972
43	823.0694522
44	820.3658822
45	818.9799924
46	816.417954
47	813.7490254
48	812.0184428
49	810.4340361
50	808.3431864
51	807.0665521
52	804.7407917
53	804.4265445
54	802.788088
55	801.2866
56	799.3016583
57	798.1503906
58	796.7553494
59	795.0167584
60	794.2638387
61	791.8240908
62	791.021636
63	788.6113016
64	786.7989115
65	784.9191693
66	783.5402398
67	782.2870078
68	781.4884315
69	780.8738841
70	779.8954532
71	778.6006778
72	777.4091922
73	776.1218502
74	774.4878388
75	774.1102942
76	772.6720841
77	771.8790213
78	771.0130628
79	770.1074448
80	768.2831931
81	766.4465306
82	764.7546576
83	763.6617079
84	762.2459781
85	761.5208324
86	760.7159975
87	760.0442766
88	759.1247673
89	757.6483986
90	756.654547
91	755.0823089
92	754.3230374
93	752.9802463
94	751.4299114
95	750.4320111
96	749.013442
97	748.1518375
98	746.9269771
99	746.0845838
100	745.242219
101	743.5741617
102	742.3054574
103	740.9929508
104	740.4209134
105	740.0288398
106	739.3057874
107	738.4619826
108	737.7891109
109	736.9600414
110	736.3803852
111	735.700777
112	734.7865886
113	733.6819863
114	731.5512934
115	731.1786246
116	730.4329129
117	729.2328288
118	728.7388096
119	727.7100938
120	726.1137084
121	724.820482
122	724.1507242
123	723.3490278
124	722.186009
125	721.8340964
126	719.7371555
127	718.2489353
128	717.0762909
129	715.9923484
130	715.1949365
131	714.0448668
132	713.3928876
133	712.6109946
134	711.9705962
135	710.6695086
136	709.618221
137	709.0767708
138	708.5949376
139	707.7113928
140	707.5460285
141	706.5827522
142	706.1076633
143	704.9008834
144	704.145994
145	703.8949224
146	702.4454479
147	700.7871254
148	700.2669717
149	699.0481905
150	698.6501243
151	698.1488938
152	697.7156224
153	697.1456282
154	696.7116375
155	695.6714267
156	693.9578649
157	693.289871
158	692.3792827
159	692.1698499
160	691.9894649
161	691.5834278
162	690.0332088
163	688.9034263
164	688.549527
165	687.5867147
166	686.9100313
167	685.9892692
168	685.0903815
169	684.7785942
170	684.4324659
171	684.1024393
172	683.3136396
173	682.5365058
174	681.2896705
175	680.699346
176	680.4547619
177	680.0980918
178	679.4707573
179	678.5434911
180	677.846363
181	677.2503679
182	676.7865392
183	676.2377453
184	675.7116355
185	675.0598323
186	674.5630207
187	673.5987392
188	673.5821651
189	672.3968053
190	672.3247844
191	671.5575319
192	670.7837143
193	670.3492831
194	669.6493556
195	668.5459334
196	668.0946285
197	668.0877581
198	667.2571936
199	666.3566637
200	665.8943281
201	665.595219
202	664.9756499
203	664.1562956
204	663.4216062
205	662.4320061
206	661.7332874
207	661.0092132
208	660.8444411
209	660.3956804
210	659.8248624
211	659.1288238
212	658.8257465
213	658.5049637
214	657.8498647
215	657.0899647
216	656.7825473
217	656.4236029
218	655.9351729
219	655.5160486
220	654.6989525
221	654.2907105
222	653.4537291
223	652.7856264
224	652.2425007
225	651.7277305
226	651.1165522
227	650.295558
228	649.4658354
229	649.1556249
230	648.5642283
231	648.1676605
232	648.04992
233	647.1830152
234	647.1443988
235	646.8175775
236	646.3627194
237	645.8642775
238	645.5892835
239	645.2324939
240	644.8827078
241	644.1424712
242	642.9114576
243	642.351007
244	642.0058379
245	641.4880003
246	640.8149298
247	640.0875613
248	639.8116174
249	639.3206951
250	638.771477
251	637.6509952
252	636.8908206
253	636.0444974
254	635.5022154
255	634.9791984
256	634.3770031
257	633.8724328
