iter	Passed	Remaining
0	109	54681
1	159	39831
2	197	32742
3	222	27634
4	248	24639
5	273	22509
6	297	20931
7	333	20496
8	365	19941
9	395	19383
10	426	18942
11	459	18678
12	489	18331
13	519	18039
14	548	17750
15	574	17368
16	604	17173
17	636	17044
18	666	16878
19	697	16745
20	724	16516
21	751	16335
22	779	16176
23	804	15947
24	832	15820
25	857	15631
26	886	15528
27	911	15358
28	955	15512
29	998	15646
30	1030	15597
31	1110	16237
32	1140	16133
33	1163	15941
34	1194	15870
35	1219	15716
36	1252	15673
37	1282	15592
38	1319	15593
39	1347	15493
40	1377	15423
41	1404	15317
42	1439	15303
43	1473	15270
44	1500	15171
45	1534	15146
46	1567	15105
47	1592	14994
48	1623	14940
49	1660	14940
50	1686	14851
51	1721	14828
52	1752	14783
53	1779	14695
54	1806	14614
55	1840	14596
56	1872	14550
57	1902	14496
58	1927	14409
59	1954	14330
60	1979	14244
61	2003	14153
62	2030	14085
63	2054	13998
64	2087	13966
65	2113	13894
66	2140	13831
67	2175	13820
68	2205	13775
69	2230	13701
70	2254	13619
71	2286	13589
72	2313	13530
73	2349	13527
74	2379	13486
75	2405	13417
76	2428	13343
77	2456	13288
78	2481	13223
79	2511	13183
80	2540	13140
81	2570	13105
82	2596	13046
83	2622	12986
84	2653	12956
85	2684	12925
86	2708	12859
87	2739	12824
88	2770	12792
89	2792	12723
90	2818	12666
91	2849	12635
92	2878	12598
93	2908	12561
94	2943	12546
95	2975	12520
96	3006	12492
97	3035	12452
98	3065	12416
99	3089	12359
100	3116	12311
101	3144	12270
102	3172	12227
103	3204	12201
104	3232	12160
105	3263	12130
106	3294	12100
107	3320	12051
108	3345	12001
109	3377	11974
110	3404	11929
111	3436	11903
112	3468	11878
113	3498	11847
114	3534	11833
115	3564	11800
116	3594	11768
117	3632	11758
118	3666	11739
119	3690	11686
120	3715	11637
121	3745	11604
122	3769	11553
123	3797	11515
124	3827	11483
125	3865	11473
126	3889	11423
127	3922	11399
128	3951	11363
129	3976	11316
130	4003	11276
131	4028	11230
132	4059	11202
133	4086	11162
134	4111	11116
135	4138	11075
136	4166	11040
137	4199	11015
138	4222	10967
139	4248	10924
140	4279	10895
141	4312	10872
142	4340	10835
143	4364	10789
144	4394	10757
145	4423	10724
146	4449	10683
147	4474	10641
148	4506	10614
149	4531	10573
150	4560	10540
151	4590	10509
152	4620	10479
153	4650	10447
154	4674	10405
155	4702	10368
156	4727	10327
157	4756	10295
158	4782	10257
159	4813	10228
160	4836	10184
161	4869	10158
162	4899	10129
163	4935	10110
164	4967	10085
165	4991	10042
166	5022	10015
167	5054	9989
168	5080	9950
169	5112	9923
170	5141	9892
171	5166	9852
172	5193	9815
173	5224	9788
174	5253	9756
175	5281	9721
176	5316	9701
177	5341	9662
178	5365	9621
179	5394	9590
180	5446	9598
181	5477	9570
182	5506	9539
183	5531	9499
184	5556	9461
185	5595	9445
186	5624	9415
187	5649	9375
188	5671	9333
189	5697	9295
190	5729	9268
191	5759	9238
192	5790	9211
193	5823	9185
194	5852	9153
195	5881	9121
196	5912	9093
197	5945	9068
198	5976	9040
199	6008	9013
200	6032	8974
201	6063	8945
202	6094	8916
203	6117	8876
204	6141	8838
205	6172	8809
206	6203	8781
207	6236	8755
208	6260	8716
209	6291	8688
210	6321	8658
211	6351	8628
212	6375	8591
213	6399	8552
214	6425	8517
215	6458	8491
216	6488	8461
217	6517	8430
218	6547	8401
219	6580	8375
220	6609	8344
221	6641	8317
222	6672	8287
223	6695	8249
224	6720	8213
225	6745	8177
226	6774	8146
227	6805	8118
228	6838	8092
229	6868	8063
230	6901	8037
231	6926	8001
232	6956	7971
233	6985	7940
234	7013	7908
235	7041	7876
236	7066	7842
237	7096	7812
238	7127	7783
239	7157	7754
240	7181	7718
241	7206	7682
242	7235	7652
243	7259	7616
244	7290	7588
245	7314	7552
246	7343	7522
247	7372	7491
248	7405	7465
249	7434	7434
250	7464	7404
251	7500	7381
252	7533	7355
253	7558	7320
254	7581	7284
255	7613	7256
256	7636	7220
257	7666	7191
258	7691	7157
259	7722	7128
260	7747	7094
261	7772	7060
262	7803	7031
263	7833	7002
264	7860	6970
265	7890	6940
266	7913	6905
267	7943	6876
268	7969	6843
269	8000	6815
270	8029	6785
271	8059	6755
272	8089	6726
273	8123	6700
274	8152	6670
275	8183	6641
276	8211	6611
277	8242	6582
278	8272	6552
279	8296	6518
280	8321	6485
281	8351	6456
282	8375	6422
283	8401	6389
284	8433	6362
285	8462	6332
286	8493	6303
287	8526	6276
288	8551	6243
289	8577	6210
290	8606	6180
291	8630	6147
292	8655	6115
293	8688	6087
294	8718	6058
295	8747	6029
296	8779	6000
297	8804	5968
298	8835	5939
299	8866	5911
300	8897	5882
301	8927	5853
302	8957	5824
303	8985	5793
304	9016	5764
305	9044	5734
306	9075	5705
307	9104	5675
308	9137	5648
309	9167	5618
310	9198	5590
311	9231	5562
312	9256	5530
313	9292	5504
314	9324	5476
315	9355	5447
316	9382	5416
317	9412	5386
318	9441	5357
319	9472	5328
320	9495	5294
321	9527	5266
322	9552	5234
323	9580	5204
324	9612	5176
325	9643	5147
326	9669	5115
327	9694	5083
328	9723	5054
329	9754	5025
330	9780	4993
331	9804	4961
332	9830	4929
333	9860	4900
334	9893	4872
335	9921	4842
336	9952	4813
337	9981	4784
338	10011	4754
339	10039	4724
340	10065	4693
341	10089	4661
342	10120	4632
343	10146	4601
344	10174	4571
345	10199	4539
346	10231	4511
347	10259	4481
348	10284	4449
349	10314	4420
350	10342	4390
351	10369	4359
352	10399	4330
353	10431	4302
354	10460	4272
355	10491	4243
356	10524	4215
357	10557	4187
358	10585	4157
359	10615	4128
360	10646	4099
361	10677	4070
362	10707	4041
363	10740	4012
364	10769	3983
365	10799	3953
366	10831	3925
367	10862	3896
368	10887	3865
369	10916	3835
370	10941	3804
371	10968	3774
372	10999	3745
373	11029	3715
374	11058	3686
375	11087	3656
376	11114	3626
377	11145	3597
378	11173	3567
379	11206	3539
380	11237	3510
381	11263	3479
382	11289	3448
383	11318	3419
384	11350	3390
385	11381	3361
386	11411	3332
387	11441	3302
388	11471	3273
389	11496	3242
390	11527	3213
391	11557	3184
392	11582	3153
393	11615	3124
394	11641	3094
395	11666	3063
396	11699	3035
397	11723	3004
398	11752	2974
399	11783	2945
400	11812	2916
401	11837	2885
402	11871	2857
403	11895	2826
404	11924	2797
405	11955	2768
406	11978	2737
407	12006	2707
408	12033	2677
409	12060	2647
410	12084	2616
411	12111	2586
412	12141	2557
413	12170	2528
414	12193	2497
415	12225	2468
416	12250	2438
417	12281	2409
418	12309	2379
419	12340	2350
420	12370	2321
421	12401	2292
422	12431	2262
423	12463	2234
424	12495	2205
425	12519	2174
426	12551	2145
427	12585	2117
428	12615	2087
429	12641	2057
430	12672	2028
431	12699	1998
432	12723	1968
433	12754	1939
434	12788	1910
435	12819	1881
436	12843	1851
437	12866	1821
438	12895	1791
439	12919	1761
440	12949	1732
441	12980	1703
442	13006	1673
443	13036	1644
444	13066	1614
445	13091	1585
446	13117	1555
447	13146	1525
448	13178	1496
449	13201	1466
450	13229	1437
451	13260	1408
452	13288	1378
453	13320	1349
454	13353	1320
455	13379	1291
456	13407	1261
457	13438	1232
458	13462	1202
459	13486	1172
